id,1,2,3,4,5,5,5,6,6,1
1,1.00000012,0.95444393,0.97012460,0.96461612,0.70873249,0.63767076,0.49311495,0.73523873,0.73909545,0.07828110
2,0.95444393,1.00000000,0.90083611,0.98057550,0.72832048,0.72495818,0.58042562,0.65444571,0.67068940,0.02619014
3,0.97012460,0.90083611,1.00000000,0.92207038,0.69641149,0.58765137,0.45462543,0.75685567,0.75618637,0.05986044
4,0.96461612,0.98057550,0.92207038,1.00000012,0.72244346,0.70575249,0.55969429,0.65504706,0.66716814,0.09512810
5,0.70873249,0.72832048,0.69641149,0.72244346,1.00000012,0.94643307,0.89079773,0.79058862,0.84386200,0.13737252
5,0.63767076,0.72495818,0.58765137,0.70575249,0.94643307,1.00000012,0.93771482,0.64098942,0.70275873,0.17308593
5,0.49311495,0.58042562,0.45462543,0.55969429,0.89079773,0.93771482,1.00000000,0.48211050,0.56557059,0.21088123
6,0.73523873,0.65444571,0.75685567,0.65504706,0.79058862,0.64098942,0.48211050,0.99999994,0.97706217,-0.05700497
6,0.73909545,0.67068940,0.75618637,0.66716814,0.84386200,0.70275873,0.56557059,0.97706217,1.00000024,-0.04463281
1,0.07828110,0.02619014,0.05986044,0.09512810,0.13737252,0.17308593,0.21088123,-0.05700497,-0.04463281,1.00000000
